nome,tam,temp,comp
heap,268435456,77.911175,7391862219
heap,223696213,64.441962,6159884230
heap,186413510,53.345261,5133235274
heap,155344591,44.288948,4277694425
heap,129453825,36.237731,3435288365
heap,107878187,29.988955,2862738907
heap,89898489,24.868599,2385616765
heap,74915407,20.651504,1988017844
heap,62429505,16.872141,1594252336
heap,52024587,13.911715,1328539923
heap,43353822,11.527731,1107116439
heap,36128185,9.604673,922600930
heap,30106820,7.767239,738728329
heap,25089016,6.420860,615606024
heap,20907513,5.316910,513003474
heap,17422927,4.474462,427502437
heap,14519105,3.601329,341734365
heap,12099254,2.971309,284777812
heap,10082711,2.476307,237313951
heap,8402259,2.079453,197761234
heap,7001882,1.671730,157801151
heap,5834901,1.373466,131500423
heap,4862417,1.130828,109584666
heap,4052014,0.923339,87268215
heap,3376678,0.762622,72724323
heap,2813898,0.631113,60602366
heap,2344915,0.529590,50501605
heap,1954095,0.426893,40131008
heap,1628412,0.355828,33442262
heap,1357010,0.292135,27868461
heap,1130841,0.242883,23223505
heap,942367,0.196902,18410301
heap,785305,0.162966,15341855
heap,654420,0.134986,12784851
heap,545350,0.112231,10654044
heap,454458,0.090705,8424062
heap,378715,0.074951,7020028
heap,315595,0.062155,5849863
heap,262995,0.051961,4874845
heap,219162,0.041730,3843353
heap,182635,0.034510,3202810
heap,152195,0.028649,2668852
heap,126829,0.023258,2097193
heap,105690,0.019160,1747659
heap,88075,0.015841,1456349
heap,73395,0.013163,1213636
heap,61162,0.010658,950181
heap,50968,0.008797,791818
heap,42473,0.007272,659753
heap,35394,0.006047,549739
heap,29495,0.004857,428654
heap,24579,0.004025,357227
heap,20482,0.003325,297699
heap,17068,0.002771,248069
heap,14223,0.002211,192479
heap,11852,0.001826,160373
heap,9876,0.001507,133657
heap,8230,0.001279,111379
heap,6858,0.001003,85942
heap,5715,0.000826,71613
heap,4762,0.000683,59671
heap,3968,0.000567,45753
heap,3306,0.000453,38110
heap,2755,0.000374,31763
heap,2295,0.000308,26452
heap,1912,0.000247,20110
heap,1593,0.000205,16761
heap,1327,0.000165,13953
heap,1105,0.000134,11611
heap,920,0.000106,8747
heap,766,0.000085,7291
heap,638,0.000068,6071
heap,531,0.000053,5034
heap,442,0.000041,3751
heap,368,0.000032,3111
heap,306,0.000026,2582
heap,255,0.000019,1904
heap,212,0.000017,1569
heap,176,0.000012,1296
heap,146,0.000010,1073
heap,121,0.000008,772
heap,100,0.000007,634
heap,83,0.000006,521
heap,69,0.000005,431
heap,57,0.000004,301
heap,47,0.000003,237
heap,39,0.000002,196
heap,32,0.000002,141
heap,26,0.000002,106
heap,21,0.000001,80
heap,17,0.000000,60
heap,14,0.000000,45
heap,11,0.000000,32
heap,9,0.000001,24
heap,7,0.000000,16
heap,5,0.000000,9
heap,4,0.000000,6
heap,3,0.000001,4
heap,2,0.000000,2
heap,1,0.000001,1
