nome,tam,temp,comp
heap,134217728,32.424546,3623878656
heap,111848106,26.924715,2997529240
heap,93206755,22.354494,2475571412
heap,77672295,18.572942,2040606532
heap,64726912,15.262733,1680517760
heap,53939093,12.639285,1389246647
heap,44949244,10.504287,1146520724
heap,37457703,8.672911,944249117
heap,31214752,7.158630,778029120
heap,26012293,5.934882,642765186
heap,21676910,4.913097,530045228
heap,18064091,4.069148,436111934
heap,15053409,3.349268,359558009
heap,12544507,2.756459,296835459
heap,10453755,2.290539,244566659
heap,8711462,1.894747,201009334
heap,7259551,1.561522,165840616
heap,6049625,1.287949,136802392
heap,5041354,1.071459,112603888
heap,4201128,0.874857,92438464
heap,3500940,0.724154,76327316
heap,2917450,0.598373,62907046
heap,2431208,0.494431,51723480
heap,2026006,0.406149,42474980
heap,1688338,0.333774,35046284
heap,1406948,0.276110,28855704
heap,1172456,0.226010,23696880
heap,977046,0.186437,19469390
heap,814205,0.153678,16049729
heap,678504,0.126741,13200008
heap,565420,0.104350,10825244
heap,471183,0.085645,8899372
heap,392652,0.070088,7328752
heap,327210,0.057877,6019912
heap,272675,0.047870,4929212
heap,227229,0.039063,4055207
heap,189357,0.032241,3335639
heap,157797,0.026614,2735999
heap,131497,0.021718,2236299
heap,109580,0.017864,1841368
heap,91316,0.014736,1512616
heap,76096,0.012127,1238656
heap,63413,0.009930,1012485
heap,52844,0.008124,832812
heap,44036,0.006718,683076
heap,36696,0.005484,558296
heap,30580,0.004524,456512
heap,25483,0.003688,374960
heap,21235,0.003041,306992
heap,17695,0.002506,250352
heap,14745,0.002045,204791
heap,12287,0.001649,167921
heap,10239,0.001367,137201
heap,8532,0.001127,111596
heap,7110,0.000907,91348
heap,5925,0.000748,74758
heap,4937,0.000615,60926
heap,4114,0.000513,49404
heap,3428,0.000415,40468
heap,2856,0.000335,33032
heap,2380,0.000277,26844
heap,1983,0.000229,21748
heap,1652,0.000182,17776
heap,1376,0.000150,14464
heap,1146,0.000122,11704
heap,955,0.000100,9481
heap,795,0.000081,7721
heap,662,0.000066,6258
heap,551,0.000055,5037
heap,459,0.000044,4078
heap,382,0.000035,3308
heap,318,0.000029,2668
heap,265,0.000024,2138
heap,220,0.000019,1724
heap,183,0.000016,1391
heap,152,0.000012,1112
heap,126,0.000010,880
heap,105,0.000009,712
heap,87,0.000006,568
heap,72,0.000006,448
heap,60,0.000004,356
heap,50,0.000003,286
heap,41,0.000003,223
heap,34,0.000002,174
heap,28,0.000002,136
heap,23,0.000002,106
heap,19,0.000001,82
heap,15,0.000001,59
heap,12,0.000001,44
heap,10,0.000001,34
heap,8,0.000000,24
heap,6,0.000000,16
heap,5,0.000001,12
heap,4,0.000000,8
heap,3,0.000001,5
heap,2,0.000000,2
heap,1,0.000000,0
