nome,tam,temp,comp
heap,134217728,35.259927,3565095084
heap,111848106,29.352117,2970910474
heap,93206755,24.443645,2475768315
heap,77672295,20.371299,2063139117
heap,64726912,16.611405,1654545192
heap,53939093,13.801583,1378792386
heap,44949244,11.505972,1148997381
heap,37457703,9.580698,957496285
heap,31214752,7.790447,766694382
heap,26012293,6.505778,638915480
heap,21676910,5.415343,532428225
heap,18064091,4.496118,443689028
heap,15053409,3.674902,354689527
heap,12544507,3.055691,295575439
heap,10453755,2.542789,246310730
heap,8711462,2.124419,205258829
heap,7259551,1.688273,163790247
heap,6049625,1.435686,136490440
heap,5041354,1.192832,113742126
heap,4201128,0.994373,94786557
heap,3500940,0.809347,75486330
heap,2917450,0.674827,62905488
heap,2431208,0.561678,52421439
heap,2026006,0.455089,41658925
heap,1688338,0.372092,34715779
heap,1406948,0.315900,28928764
heap,1172456,0.257514,24107197
heap,977046,0.212992,19112427
heap,814205,0.177537,15927494
heap,678504,0.146260,13272782
heap,565420,0.124069,11060607
heap,471183,0.100550,8746088
heap,392652,0.083459,7288447
heap,327210,0.069923,6073702
heap,272675,0.058274,5061419
heap,227229,0.047022,3990547
heap,189357,0.038696,3325530
heap,157797,0.032253,2771256
heap,131497,0.027725,2309409
heap,109580,0.021818,1814872
heap,91316,0.018161,1512374
heap,76096,0.015122,1260307
heap,63413,0.012284,986842
heap,52844,0.010251,822329
heap,44036,0.008542,685310
heap,36696,0.007097,571059
heap,30580,0.005761,445325
heap,25483,0.004967,371129
heap,21235,0.004115,309274
heap,17695,0.003436,257691
heap,14745,0.002781,199987
heap,12287,0.002319,166661
heap,10239,0.001930,138864
heap,8532,0.001599,115673
heap,7110,0.001291,89295
heap,5925,0.001085,74411
heap,4937,0.000887,62011
heap,4114,0.000747,51671
heap,3428,0.000596,39633
heap,2856,0.000491,33001
heap,2380,0.000408,27479
heap,1983,0.000341,20940
heap,1652,0.000271,17440
heap,1376,0.000225,14512
heap,1146,0.000182,12103
heap,955,0.000147,9130
heap,795,0.000119,7566
heap,662,0.000097,6295
heap,551,0.000078,5235
heap,459,0.000063,3893
heap,382,0.000051,3262
heap,318,0.000040,2720
heap,265,0.000032,2243
heap,220,0.000025,1628
heap,183,0.000020,1372
heap,152,0.000016,1114
heap,126,0.000013,827
heap,105,0.000010,665
heap,87,0.000008,538
heap,72,0.000007,450
heap,60,0.000006,331
heap,50,0.000004,264
heap,41,0.000003,204
heap,34,0.000003,160
heap,28,0.000002,124
heap,23,0.000001,94
heap,19,0.000001,74
heap,15,0.000001,54
heap,12,0.000001,40
heap,10,0.000001,30
heap,8,0.000000,21
heap,6,0.000001,14
heap,5,0.000000,10
heap,4,0.000000,7
heap,3,0.000000,4
heap,2,0.000001,2
heap,1,0.000000,1
