nome,tam,temp,comp
heap,134217728,34.503918,3623878656
heap,111848106,28.578631,2997529240
heap,93206755,23.651434,2475571412
heap,77672295,19.540666,2040606532
heap,64726912,15.991127,1680517760
heap,53939093,13.207100,1389246647
heap,44949244,10.951787,1146520724
heap,37457703,8.999670,944249117
heap,31214752,7.406217,778029120
heap,26012293,6.124355,642765186
heap,21676910,5.053413,530045228
heap,18064091,4.173719,436111934
heap,15053409,3.419204,359558009
heap,12544507,2.810200,296835459
heap,10453755,2.323416,244566659
heap,8711462,1.923625,201009334
heap,7259551,1.574836,165840616
heap,6049625,1.297326,136802392
heap,5041354,1.073336,112603888
heap,4201128,0.877100,92438464
heap,3500940,0.726095,76327316
heap,2917450,0.599551,62907046
heap,2431208,0.495302,51723480
heap,2026006,0.406684,42474980
heap,1688338,0.333613,35046284
heap,1406948,0.276269,28855704
heap,1172456,0.226110,23696880
heap,977046,0.186540,19469390
heap,814205,0.153781,16049729
heap,678504,0.126750,13200008
heap,565420,0.104640,10825244
heap,471183,0.085663,8899372
heap,392652,0.070076,7328752
heap,327210,0.057706,6019912
heap,272675,0.047716,4929212
heap,227229,0.039066,4055207
heap,189357,0.032239,3335639
heap,157797,0.026653,2735999
heap,131497,0.021775,2236299
heap,109580,0.017873,1841368
heap,91316,0.014923,1512616
heap,76096,0.012163,1238656
heap,63413,0.009942,1012485
heap,52844,0.008137,832812
heap,44036,0.006722,683076
heap,36696,0.005509,558296
heap,30580,0.004804,456512
heap,25483,0.003702,374960
heap,21235,0.003061,306992
heap,17695,0.002514,250352
heap,14745,0.002027,204791
heap,12287,0.001666,167921
heap,10239,0.001362,137201
heap,8532,0.001123,111596
heap,7110,0.000920,91348
heap,5925,0.000747,74758
heap,4937,0.000616,60926
heap,4114,0.000501,49404
heap,3428,0.000413,40468
heap,2856,0.000335,33032
heap,2380,0.000275,26844
heap,1983,0.000224,21748
heap,1652,0.000184,17776
heap,1376,0.000149,14464
heap,1146,0.000122,11704
heap,955,0.000101,9481
heap,795,0.000081,7721
heap,662,0.000067,6258
heap,551,0.000054,5037
heap,459,0.000044,4078
heap,382,0.000035,3308
heap,318,0.000028,2668
heap,265,0.000024,2138
heap,220,0.000020,1724
heap,183,0.000015,1391
heap,152,0.000013,1112
heap,126,0.000011,880
heap,105,0.000008,712
heap,87,0.000007,568
heap,72,0.000006,448
heap,60,0.000004,356
heap,50,0.000003,286
heap,41,0.000003,223
heap,34,0.000003,174
heap,28,0.000002,136
heap,23,0.000002,106
heap,19,0.000001,82
heap,15,0.000001,59
heap,12,0.000001,44
heap,10,0.000001,34
heap,8,0.000000,24
heap,6,0.000000,16
heap,5,0.000001,12
heap,4,0.000000,8
heap,3,0.000001,5
heap,2,0.000000,2
heap,1,0.000000,0
