nome,tam,temp,comp
heap,134217728,131.784768,7142382004
heap,111848106,103.549944,5899196348
heap,93206755,85.305827,4867980662
heap,77672295,68.042696,4013758594
heap,64726912,54.791725,3309171198
heap,53939093,43.297400,2731706088
heap,44949244,34.981649,2252883536
heap,37457703,28.572218,1856517020
heap,31214752,22.870691,1530559478
heap,26012293,18.271456,1262731732
heap,21676910,14.932932,1040775724
heap,18064091,11.998712,857125978
heap,15053409,9.672948,706609336
heap,12544507,7.628148,582588894
heap,10453755,6.238356,479858728
heap,8711462,4.898573,394941500
heap,7259551,3.990601,325545344
heap,6049625,3.208384,268225586
heap,5041354,2.533121,220773068
heap,4201128,2.021090,181573482
heap,3500940,1.621198,149657850
heap,2917450,1.280854,123210740
heap,2431208,1.020424,101335860
heap,2026006,0.813348,83332556
heap,1688338,0.646284,68631374
heap,1406948,0.540970,56454888
heap,1172456,0.437612,46390710
heap,977046,0.351360,38142858
heap,814205,0.278455,31387834
heap,678504,0.231840,25792628
heap,565420,0.183284,21175586
heap,471183,0.159479,17405740
heap,392652,0.122778,14310040
heap,327210,0.100487,11747674
heap,272675,0.082254,9635360
heap,227229,0.067282,7918186
heap,189357,0.055034,6502196
heap,157797,0.045820,5332308
heap,131497,0.036897,4368196
heap,109580,0.030174,3588498
heap,91316,0.024736,2943530
heap,76096,0.020242,2410804
heap,63413,0.016556,1973554
heap,52844,0.013552,1619492
heap,44036,0.011110,1326804
heap,36696,0.009086,1085338
heap,30580,0.007412,888356
heap,25483,0.006084,727784
heap,21235,0.004957,595322
heap,17695,0.004059,486338
heap,14745,0.003302,397496
heap,12287,0.002736,325260
heap,10239,0.002205,265262
heap,8532,0.001797,216576
heap,7110,0.001465,176890
heap,5925,0.001210,144310
heap,4937,0.000970,117412
heap,4114,0.000792,95514
heap,3428,0.000654,77936
heap,2856,0.000526,63506
heap,2380,0.000442,51598
heap,1983,0.000348,41954
heap,1652,0.000285,34064
heap,1376,0.000233,27700
heap,1146,0.000187,22452
heap,955,0.000152,18208
heap,795,0.000126,14838
heap,662,0.000100,11916
heap,551,0.000078,9568
heap,459,0.000064,7752
heap,382,0.000052,6286
heap,318,0.000042,5076
heap,265,0.000033,4090
heap,220,0.000027,3290
heap,183,0.000021,2648
heap,152,0.000017,2100
heap,126,0.000014,1668
heap,105,0.000011,1348
heap,87,0.000008,1062
heap,72,0.000007,838
heap,60,0.000005,684
heap,50,0.000004,554
heap,41,0.000004,424
heap,34,0.000003,326
heap,28,0.000003,248
heap,23,0.000002,182
heap,19,0.000002,140
heap,15,0.000001,98
heap,12,0.000001,76
heap,10,0.000001,60
heap,8,0.000001,44
heap,6,0.000001,28
heap,5,0.000000,26
heap,4,0.000001,18
heap,3,0.000000,12
heap,2,0.000000,6
heap,1,0.000000,2
