nome,tam,temp,comp
heap,134217728,33.758091,3565507992
heap,111848106,28.072783,2971263493
heap,93206755,23.370908,2476044338
heap,77672295,19.410131,2063368538
heap,64726912,15.790763,1654747435
heap,53939093,13.112129,1378958436
heap,44949244,10.992912,1149131237
heap,37457703,9.160738,957605107
heap,31214752,7.370418,766789784
heap,26012293,6.215820,638995289
heap,21676910,5.097758,532497450
heap,18064091,4.301658,443746745
heap,15053409,3.501279,354736388
heap,12544507,2.909758,295612802
heap,10453755,2.428866,246340764
heap,8711462,2.024752,205287428
heap,7259551,1.643276,163813020
heap,6049625,1.363878,136510520
heap,5041354,1.135516,113759433
heap,4201128,0.947276,94799991
heap,3500940,0.769718,75496874
heap,2917450,0.638050,62913739
heap,2431208,0.519848,52429287
heap,2026006,0.431885,41664820
heap,1688338,0.361419,34720238
heap,1406948,0.299301,28933524
heap,1172456,0.249575,24111227
heap,977046,0.200420,19115856
heap,814205,0.166582,15930044
heap,678504,0.141283,13274989
heap,565420,0.115407,11062573
heap,471183,0.094524,8747725
heap,392652,0.078189,7289789
heap,327210,0.064875,6074556
heap,272675,0.054070,5062138
heap,227229,0.043842,3991135
heap,189357,0.036474,3325994
heap,157797,0.030420,2771696
heap,131497,0.025480,2309772
heap,109580,0.020596,1815250
heap,91316,0.017135,1512699
heap,76096,0.014264,1260622
heap,63413,0.011593,987118
heap,52844,0.009661,822605
heap,44036,0.008042,685529
heap,36696,0.006816,571262
heap,30580,0.005438,445439
heap,25483,0.004535,371169
heap,21235,0.003762,309303
heap,17695,0.003139,257742
heap,14745,0.002544,200011
heap,12287,0.002113,166740
heap,10239,0.001781,138949
heap,8532,0.001466,115768
heap,7110,0.001185,89363
heap,5925,0.000997,74466
heap,4937,0.000821,62066
heap,4114,0.000684,51706
heap,3428,0.000551,39664
heap,2856,0.000457,33049
heap,2380,0.000381,27527
heap,1983,0.000310,20975
heap,1652,0.000258,17472
heap,1376,0.000224,14540
heap,1146,0.000174,12133
heap,955,0.000140,9153
heap,795,0.000114,7596
heap,662,0.000092,6314
heap,551,0.000074,5251
heap,459,0.000058,3912
heap,382,0.000047,3279
heap,318,0.000038,2728
heap,265,0.000030,2251
heap,220,0.000024,1641
heap,183,0.000019,1380
heap,152,0.000015,1121
heap,126,0.000013,833
heap,105,0.000010,670
heap,87,0.000008,543
heap,72,0.000006,455
heap,60,0.000005,336
heap,50,0.000004,267
heap,41,0.000003,205
heap,34,0.000002,159
heap,28,0.000002,123
heap,23,0.000001,93
heap,19,0.000001,72
heap,15,0.000000,52
heap,12,0.000000,38
heap,10,0.000001,29
heap,8,0.000001,21
heap,6,0.000000,14
heap,5,0.000001,10
heap,4,0.000000,7
heap,3,0.000001,4
heap,2,0.000000,2
heap,1,0.000000,1
