nome,tam,temp,comp
heap,268435456,63.028623,7391966275
heap,134217728,29.216827,3562139576
heap,111848106,24.322954,2968445612
heap,93206755,20.253553,2473704295
heap,77672295,16.867680,2061427218
heap,64726912,13.649952,1653121142
heap,53939093,11.383134,1377603725
heap,44949244,9.453095,1148000852
heap,37457703,7.881967,956669687
heap,31214752,6.389006,766012486
heap,26012293,5.323372,638341408
heap,21676910,4.406052,531950704
heap,18064091,3.696821,443292278
heap,15053409,2.991211,354357929
heap,12544507,2.488399,295297962
heap,10453755,2.075776,246083897
heap,8711462,1.724875,205068748
heap,7259551,1.399822,163629883
heap,6049625,1.147726,136357019
heap,5041354,0.957205,113631453
heap,4201128,0.798117,94692109
heap,3500940,0.642256,75410429
heap,2917450,0.534978,62841026
heap,2431208,0.447194,52367356
heap,2026006,0.361818,41613143
heap,1688338,0.302944,34677291
heap,1406948,0.254757,28899492
heap,1172456,0.208443,24082998
heap,977046,0.171381,19092239
heap,814205,0.140677,15909943
heap,678504,0.117085,13258292
heap,565420,0.097785,11048511
heap,471183,0.079041,8735462
heap,392652,0.066840,7279582
heap,327210,0.054749,6066356
heap,272675,0.045667,5055424
heap,227229,0.036923,3985686
heap,189357,0.030706,3321380
heap,157797,0.025601,2767857
heap,131497,0.021377,2306578
heap,109580,0.017243,1812539
heap,91316,0.014353,1510391
heap,76096,0.011956,1258647
heap,63413,0.009652,985349
heap,52844,0.008040,821140
heap,44036,0.006696,684271
heap,36696,0.005576,570232
heap,30580,0.004492,444595
heap,25483,0.003762,370475
heap,21235,0.003122,308688
heap,17695,0.002611,257298
heap,14745,0.002095,199679
heap,12287,0.001750,166386
heap,10239,0.001448,138642
heap,8532,0.001213,115512
heap,7110,0.000982,89160
heap,5925,0.000804,74310
heap,4937,0.000674,61908
heap,4114,0.000562,51582
heap,3428,0.000450,39559
heap,2856,0.000373,32951
heap,2380,0.000324,27464
heap,1983,0.000247,20917
heap,1652,0.000203,17426
heap,1376,0.000168,14516
heap,1146,0.000138,12087
heap,955,0.000108,9114
heap,795,0.000089,7592
heap,662,0.000070,6325
heap,551,0.000056,5255
heap,459,0.000042,3912
heap,382,0.000033,3272
heap,318,0.000026,2725
heap,265,0.000020,2257
heap,220,0.000017,1663
heap,183,0.000013,1378
heap,152,0.000011,1144
heap,126,0.000009,826
heap,105,0.000007,674
heap,87,0.000006,561
heap,72,0.000005,457
heap,60,0.000004,329
heap,50,0.000003,266
heap,41,0.000002,212
heap,34,0.000002,182
heap,28,0.000002,122
heap,23,0.000001,94
heap,19,0.000001,74
heap,15,0.000000,54
heap,12,0.000001,39
heap,10,0.000000,30
heap,8,0.000000,22
heap,6,0.000001,14
heap,5,0.000000,10
heap,4,0.000000,7
heap,3,0.000001,4
heap,2,0.000001,2
heap,1,0.000000,1
