nome,tam,temp,comp
heap,134217728,30.962508,2391344344
heap,111848106,25.654864,2020045445
heap,93206755,21.025294,1632961839
heap,77672295,17.419991,1332986945
heap,64726912,14.640802,1153325783
heap,53939093,12.043861,948578259
heap,44949244,9.728421,759346292
heap,37457703,8.052491,606062225
heap,31214752,6.652295,518587970
heap,26012293,5.594706,452027450
heap,21676910,4.530883,340412842
heap,18064091,3.717617,284114843
heap,15053409,3.143475,245543043
heap,12544507,2.529536,189205544
heap,10453755,2.122299,171092552
heap,8711462,1.734877,137031362
heap,7259551,1.402094,105341542
heap,6049625,1.184265,93617949
heap,5041354,1.002623,78662031
heap,4201128,0.826443,70155104
heap,3500940,0.655357,51962946
heap,2917450,0.554972,47026630
heap,2431208,0.450613,36584039
heap,2026006,0.363470,28352022
heap,1688338,0.300355,23744406
heap,1406948,0.245504,18526950
heap,1172456,0.205235,16177776
heap,977046,0.168900,13479600
heap,814205,0.138674,10767569
heap,678504,0.116333,9060209
heap,565420,0.095478,7567117
heap,471183,0.076583,5564592
heap,392652,0.063497,4757630
heap,327210,0.052343,3970620
heap,272675,0.043292,3226595
heap,227229,0.035209,2646189
heap,189357,0.029581,2321886
heap,157797,0.024085,1886165
heap,131497,0.019954,1512942
heap,109580,0.016047,1196205
heap,91316,0.013200,978673
heap,76096,0.011163,891679
heap,63413,0.008886,656332
heap,52844,0.007449,596746
heap,44036,0.005927,443013
heap,36696,0.004879,364706
heap,30580,0.004107,310817
heap,25483,0.003328,251895
heap,21235,0.002642,182689
heap,17695,0.002241,175407
heap,14745,0.001799,130463
heap,12287,0.001530,126272
heap,10239,0.001214,90880
heap,8532,0.001002,77218
heap,7110,0.000839,64973
heap,5925,0.000663,47594
heap,4937,0.000536,37542
heap,4114,0.000450,33140
heap,3428,0.000393,34243
heap,2856,0.000288,19839
heap,2380,0.000239,16718
heap,1983,0.000193,13229
heap,1652,0.000169,14148
heap,1376,0.000128,8806
heap,1146,0.000112,7696
heap,955,0.000086,6067
heap,795,0.000067,4396
heap,662,0.000058,4209
heap,551,0.000049,3675
heap,459,0.000036,2459
heap,382,0.000030,2052
heap,318,0.000024,1728
heap,265,0.000021,1340
heap,220,0.000017,1092
heap,183,0.000013,898
heap,152,0.000010,660
heap,126,0.000009,653
heap,105,0.000007,522
heap,87,0.000006,397
heap,72,0.000004,249
heap,60,0.000004,334
heap,50,0.000003,219
heap,41,0.000002,139
heap,34,0.000002,98
heap,28,0.000002,101
heap,23,0.000001,64
heap,19,0.000001,44
heap,15,0.000001,26
heap,12,0.000001,27
heap,10,0.000001,14
heap,8,0.000000,13
heap,6,0.000000,7
heap,5,0.000001,6
heap,4,0.000000,4
heap,3,0.000001,2
heap,2,0.000000,1
heap,1,0.000001,0
