nome,tam,temp,comp
heap,268435456,63.043584,7391956900
heap,223696213,52.473559,6159967589
heap,186413510,43.657861,5133305517
heap,155344591,36.423714,4277757977
heap,129453825,29.607967,3435342338
heap,107878187,24.652901,2862792473
heap,89898489,20.542927,2385651422
heap,74915407,17.087605,1988044264
heap,62429505,13.835674,1594276259
heap,52024587,11.532299,1328561955
heap,43353822,9.619772,1107137336
heap,36128185,7.979409,922609977
heap,30106820,6.481835,738740082
heap,25089016,5.333530,615610773
heap,20907513,4.468175,513012610
heap,17422927,3.747900,427506656
heap,14519105,3.024659,341738294
heap,12099254,2.497238,284781874
heap,10082711,2.083856,237318988
heap,8402259,1.745964,197765091
heap,7001882,1.403646,157802386
heap,5834901,1.164054,131501560
heap,4862417,0.984993,109584538
heap,4052014,0.789632,87269295
heap,3376678,0.665089,72724742
heap,2813898,0.549276,60603456
heap,2344915,0.455927,50502466
heap,1954095,0.370217,40131588
heap,1628412,0.312182,33443920
heap,1357010,0.256582,27869557
heap,1130841,0.213916,23224746
heap,942367,0.173572,18411157
heap,785305,0.144229,15342375
heap,654420,0.120069,12785196
heap,545350,0.100227,10654331
heap,454458,0.081242,8424382
heap,378715,0.067635,7020367
heap,315595,0.056330,5850283
heap,262995,0.047082,4875267
heap,219162,0.038051,3843600
heap,182635,0.031694,3203010
heap,152195,0.026388,2669160
heap,126829,0.021411,2097399
heap,105690,0.017818,1747758
heap,88075,0.014805,1456449
heap,73395,0.012326,1213698
heap,61162,0.009967,950234
heap,50968,0.008304,791820
heap,42473,0.006927,659890
heap,35394,0.005758,549859
heap,29495,0.004648,428727
heap,24579,0.003883,357251
heap,20482,0.003225,297727
heap,17068,0.002685,248084
heap,14223,0.002157,192527
heap,11852,0.001796,160444
heap,9876,0.001486,133687
heap,8230,0.001251,111399
heap,6858,0.000991,85981
heap,5715,0.000822,71648
heap,4762,0.000683,59687
heap,3968,0.000563,45760
heap,3306,0.000454,38129
heap,2755,0.000375,31765
heap,2295,0.000310,26462
heap,1912,0.000248,20144
heap,1593,0.000203,16790
heap,1327,0.000165,13977
heap,1105,0.000136,11638
heap,920,0.000107,8772
heap,766,0.000086,7311
heap,638,0.000069,6091
heap,531,0.000054,5061
heap,442,0.000042,3777
heap,368,0.000033,3129
heap,306,0.000026,2602
heap,255,0.000020,1921
heap,212,0.000017,1586
heap,176,0.000013,1309
heap,146,0.000010,1085
heap,121,0.000008,780
heap,100,0.000007,639
heap,83,0.000006,526
heap,69,0.000005,435
heap,57,0.000003,304
heap,47,0.000003,241
heap,39,0.000003,199
heap,32,0.000002,143
heap,26,0.000001,109
heap,21,0.000001,82
heap,17,0.000001,62
heap,14,0.000001,47
heap,11,0.000000,32
heap,9,0.000000,24
heap,7,0.000001,16
heap,5,0.000000,9
heap,4,0.000001,6
heap,3,0.000000,4
heap,2,0.000001,2
heap,1,0.000000,1
