nome,tam,temp,comp
heap,134217728,285.817439,3571978280
heap,111848106,239.448395,2976647809
heap,93206755,195.834797,2480544449
heap,77672295,164.368598,2067122827
heap,64726912,133.706458,1657876854
heap,53939093,114.153612,1381564175
heap,44949244,95.189558,1151305119
heap,37457703,79.878384,959417171
heap,31214752,66.425245,768299031
heap,26012293,54.853669,640247312
heap,21676910,45.947268,533538455
heap,18064091,37.851646,444617123
heap,15053409,31.925861,355461404
heap,12544507,25.977436,296219638
heap,10453755,21.206493,246848379
heap,8711462,18.387589,205705635
heap,7259551,15.267526,164163987
heap,6049625,12.750772,136801451
heap,5041354,10.536384,114001763
heap,4201128,8.883694,94999518
heap,3500940,7.379841,75666073
heap,2917450,6.148074,63055123
heap,2431208,5.129667,52546227
heap,2026006,4.259038,41762676
heap,1688338,3.542760,34801710
heap,1406948,2.956862,29002041
heap,1172456,2.416864,24167188
heap,977046,2.034007,19162477
heap,814205,1.695597,15968817
heap,678504,1.374514,13306277
heap,565420,1.184336,11088902
heap,471183,0.963588,8769746
heap,392652,0.817824,7308164
heap,327210,0.678836,6089926
heap,272675,0.564192,5075115
heap,227229,0.463276,4002738
heap,189357,0.392722,3333923
heap,157797,0.327640,2778663
heap,131497,0.266151,2315116
heap,109580,0.221541,1819392
heap,91316,0.189260,1516043
heap,76096,0.158162,1263293
heap,63413,0.131978,989980
heap,52844,0.109139,824601
heap,44036,0.090763,686593
heap,36696,0.075881,572764
heap,30580,0.063042,446755
heap,25483,0.051688,371393
heap,21235,0.042994,309268
heap,17695,0.035811,257787
heap,14745,0.029984,199766
heap,12287,0.025438,167228
heap,10239,0.021246,139349
heap,8532,0.017117,115237
heap,7110,0.013712,88608
heap,5925,0.011851,74421
heap,4937,0.009341,61140
heap,4114,0.008574,51731
heap,3428,0.006175,39009
heap,2856,0.004922,32068
heap,2380,0.004336,26759
heap,1983,0.003939,20963
heap,1652,0.002756,17034
heap,1376,0.001949,13819
heap,1146,0.001333,11212
heap,955,0.000913,9102
heap,795,0.000667,7366
heap,662,0.000456,5961
heap,551,0.000324,4804
heap,459,0.000241,3882
heap,382,0.000171,3124
heap,318,0.000123,2512
heap,265,0.000092,2025
heap,220,0.000063,1625
heap,183,0.000043,1304
heap,152,0.000029,1041
heap,126,0.000023,827
heap,105,0.000016,660
heap,87,0.000012,520
heap,72,0.000009,411
heap,60,0.000006,328
heap,50,0.000004,261
heap,41,0.000002,202
heap,34,0.000002,158
heap,28,0.000001,123
heap,23,0.000002,94
heap,19,0.000001,72
heap,15,0.000001,52
heap,12,0.000001,37
heap,10,0.000000,29
heap,8,0.000000,20
heap,6,0.000001,13
heap,5,0.000000,10
heap,4,0.000001,7
heap,3,0.000000,4
heap,2,0.000001,2
heap,1,0.000000,1
