nome,tam,temp,comp
heap,134217728,71.596328,10432067037
heap,111848106,54.279220,7712342262
heap,93206755,39.784536,5470695286
heap,77672295,30.024477,4014229966
heap,64726912,22.720244,2908082762
heap,53939093,17.659261,2172020685
heap,44949244,13.683642,1654717021
heap,37457703,10.448522,1180984427
heap,31214752,8.341369,920984053
heap,26012293,6.630793,717640444
heap,21676910,5.255740,550509306
heap,18064091,4.135377,414795191
heap,15053409,3.377246,340733802
heap,12544507,2.634314,238326320
heap,10453755,2.126378,189711430
heap,8711462,1.814993,164849065
heap,7259551,1.440724,127911069
heap,6049625,1.204624,105864545
heap,5041354,0.987115,87025050
heap,4201128,0.832876,71864766
heap,3500940,0.668117,55705496
heap,2917450,0.545948,46488611
heap,2431208,0.450455,36917222
heap,2026006,0.362305,27810472
heap,1688338,0.301554,23857249
heap,1406948,0.246642,19190215
heap,1172456,0.206137,16450470
heap,977046,0.168348,12711816
heap,814205,0.140094,11095007
heap,678504,0.114111,8896634
heap,565420,0.094349,7600183
heap,471183,0.078348,6076167
heap,392652,0.061563,4445509
heap,327210,0.053073,4306453
heap,272675,0.042209,3161329
heap,227229,0.035842,2825817
heap,189357,0.029577,2353515
heap,157797,0.023284,1739650
heap,131497,0.019919,1621034
heap,109580,0.016321,1224698
heap,91316,0.013259,1014487
heap,76096,0.010777,819277
heap,63413,0.008685,613507
heap,52844,0.007304,587923
heap,44036,0.005909,450865
heap,36696,0.004904,382521
heap,30580,0.004312,371793
heap,25483,0.003276,236520
heap,21235,0.002684,204027
heap,17695,0.002214,167070
heap,14745,0.001767,129503
heap,12287,0.001493,109454
heap,10239,0.001169,82787
heap,8532,0.000984,75087
heap,7110,0.000802,60374
heap,5925,0.000677,51808
heap,4937,0.000520,37153
heap,4114,0.000442,34109
heap,3428,0.000369,28392
heap,2856,0.000282,18617
heap,2380,0.000237,16887
heap,1983,0.000194,13982
heap,1652,0.000175,14923
heap,1376,0.000126,8448
heap,1146,0.000100,6128
heap,955,0.000085,5788
heap,795,0.000072,5522
heap,662,0.000057,4039
heap,551,0.000050,3926
heap,459,0.000038,2971
heap,382,0.000030,2075
heap,318,0.000025,1921
heap,265,0.000019,1181
heap,220,0.000016,987
heap,183,0.000012,761
heap,152,0.000011,817
heap,126,0.000008,580
heap,105,0.000007,520
heap,87,0.000005,271
heap,72,0.000004,352
heap,60,0.000003,216
heap,50,0.000003,192
heap,41,0.000002,116
heap,34,0.000002,82
heap,28,0.000001,81
heap,23,0.000001,49
heap,19,0.000001,46
heap,15,0.000001,29
heap,12,0.000000,20
heap,10,0.000001,23
heap,8,0.000001,17
heap,6,0.000000,8
heap,5,0.000000,6
heap,4,0.000001,4
heap,3,0.000000,2
heap,2,0.000000,1
heap,1,0.000001,0
