nome,tam,temp,comp
heap,134217728,42.161471,3565037739
heap,111848106,34.916332,2970867384
heap,93206755,28.841155,2475724029
heap,77672295,24.051548,2063095640
heap,64726912,19.628740,1654527878
heap,53939093,16.285310,1378774937
heap,44949244,13.496995,1148978516
heap,37457703,11.223340,957481007
heap,31214752,9.156410,766686251
heap,26012293,7.584438,638903943
heap,21676910,6.265643,532420062
heap,18064091,5.194074,443686551
heap,15053409,4.234313,354680809
heap,12544507,3.452579,295568133
heap,10453755,2.921434,246308911
heap,8711462,2.421432,205257440
heap,7259551,1.988483,163785845
heap,6049625,1.639049,136487433
heap,5041354,1.342348,113739198
heap,4201128,1.138327,94784638
heap,3500940,0.920395,75486074
heap,2917450,0.764668,62903559
heap,2431208,0.633686,52420802
heap,2026006,0.518616,41658304
heap,1688338,0.428444,34715188
heap,1406948,0.352005,28928475
heap,1172456,0.295406,24106981
heap,977046,0.241090,19112216
heap,814205,0.200388,15927581
heap,678504,0.164509,13272868
heap,565420,0.136711,11060726
heap,471183,0.109627,8746158
heap,392652,0.091918,7288361
heap,327210,0.074703,6073488
heap,272675,0.062130,5061397
heap,227229,0.050511,3990602
heap,189357,0.042841,3325488
heap,157797,0.034546,2771059
heap,131497,0.028873,2309252
heap,109580,0.023340,1814769
heap,91316,0.019728,1512324
heap,76096,0.016582,1260299
heap,63413,0.013261,986770
heap,52844,0.010795,822301
heap,44036,0.009014,685276
heap,36696,0.007558,571010
heap,30580,0.006161,445281
heap,25483,0.004963,371035
heap,21235,0.004099,309188
heap,17695,0.003416,257606
heap,14745,0.002760,199906
heap,12287,0.002278,166604
heap,10239,0.001888,138820
heap,8532,0.001568,115637
heap,7110,0.001277,89272
heap,5925,0.001044,74386
heap,4937,0.000861,61976
heap,4114,0.000722,51614
heap,3428,0.000577,39587
heap,2856,0.000489,32980
heap,2380,0.000395,27480
heap,1983,0.000320,20925
heap,1652,0.000267,17423
heap,1376,0.000214,14494
heap,1146,0.000175,12093
heap,955,0.000140,9118
heap,795,0.000114,7568
heap,662,0.000094,6300
heap,551,0.000072,5246
heap,459,0.000056,3907
heap,382,0.000046,3269
heap,318,0.000036,2718
heap,265,0.000030,2243
heap,220,0.000023,1628
heap,183,0.000019,1368
heap,152,0.000015,1112
heap,126,0.000012,819
heap,105,0.000009,660
heap,87,0.000008,534
heap,72,0.000006,449
heap,60,0.000005,330
heap,50,0.000004,262
heap,41,0.000003,204
heap,34,0.000002,160
heap,28,0.000001,124
heap,23,0.000002,96
heap,19,0.000001,74
heap,15,0.000001,54
heap,12,0.000001,41
heap,10,0.000000,31
heap,8,0.000000,22
heap,6,0.000001,14
heap,5,0.000000,10
heap,4,0.000001,7
heap,3,0.000000,4
heap,2,0.000000,2
heap,1,0.000000,1
