nome,tam,temp,comp
heap,134217728,51.492360,7091830306
heap,111848106,42.333123,5857378878
heap,93206755,35.714393,4833428892
heap,77672295,29.596704,3985375830
heap,64726912,24.430992,3285939728
heap,53939093,20.212877,2712497838
heap,44949244,16.611915,2237065234
heap,37457703,13.826115,1843516882
heap,31214752,11.396946,1519897492
heap,26012293,9.425831,1253957058
heap,21676910,7.793014,1033568898
heap,18064091,6.437570,851205246
heap,15053409,5.314432,701728022
heap,12544507,4.387788,578573246
heap,10453755,3.628069,476585026
heap,8711462,2.988532,392249608
heap,7259551,2.469119,323335272
heap,6049625,2.048450,266397992
heap,5041354,1.690339,219269542
heap,4201128,1.368114,180355432
heap,3500940,1.151955,148654184
heap,2917450,0.931324,122382222
heap,2431208,0.777806,100653406
heap,2026006,0.625382,82778202
heap,1688338,0.509440,68170896
heap,1406948,0.413476,56086048
heap,1172456,0.339851,46086670
heap,977046,0.284145,37891826
heap,814205,0.231609,31181742
heap,678504,0.190223,25627820
heap,565420,0.160505,21039228
heap,471183,0.128149,17298760
heap,392652,0.105605,14221464
heap,327210,0.087160,11676888
heap,272675,0.072493,9577210
heap,227229,0.059001,7871226
heap,189357,0.048608,6463744
heap,157797,0.039983,5300268
heap,131497,0.032881,4342840
heap,109580,0.027369,3567914
heap,91316,0.022362,2925654
heap,76096,0.018396,2396986
heap,63413,0.015157,1962800
heap,52844,0.012526,1610304
heap,44036,0.010300,1318768
heap,36696,0.008490,1078044
heap,30580,0.006969,882616
heap,25483,0.005752,722908
heap,21235,0.004730,591818
heap,17695,0.003896,483326
heap,14745,0.003200,394962
heap,12287,0.002629,323238
heap,10239,0.002143,263972
heap,8532,0.001760,214772
heap,7110,0.001432,175806
heap,5925,0.001175,143242
heap,4937,0.000970,116906
heap,4114,0.000780,95162
heap,3428,0.000641,77696
heap,2856,0.000521,63294
heap,2380,0.000425,51486
heap,1983,0.000344,41786
heap,1652,0.000280,33970
heap,1376,0.000229,27612
heap,1146,0.000199,22452
heap,955,0.000152,18226
heap,795,0.000123,14746
heap,662,0.000100,11948
heap,551,0.000079,9612
heap,459,0.000064,7800
heap,382,0.000052,6250
heap,318,0.000041,5046
heap,265,0.000033,4076
heap,220,0.000026,3286
heap,183,0.000021,2614
heap,152,0.000017,2098
heap,126,0.000014,1664
heap,105,0.000011,1340
heap,87,0.000009,1068
heap,72,0.000006,840
heap,60,0.000006,678
heap,50,0.000004,536
heap,41,0.000003,400
heap,34,0.000003,324
heap,28,0.000002,246
heap,23,0.000002,200
heap,19,0.000002,158
heap,15,0.000001,112
heap,12,0.000001,88
heap,10,0.000000,66
heap,8,0.000001,48
heap,6,0.000001,30
heap,5,0.000001,24
heap,4,0.000000,14
heap,3,0.000000,8
heap,2,0.000000,4
heap,1,0.000000,2
