nome,tam,temp,comp
heap,1048576,23.361109,4300608190
heap,873813,16.203851,2987658642
heap,728177,11.171761,2074713945
heap,606814,7.837272,1441505398
heap,505678,5.439763,1001733262
heap,421398,3.742493,695771218
heap,351165,2.635186,483493880
heap,292637,1.834810,336067098
heap,243864,1.276201,233306117
heap,203220,0.890258,162526905
heap,169350,0.619904,113019663
heap,141125,0.433057,78667412
heap,117604,0.301701,54643294
heap,98003,0.210800,38019313
heap,81669,0.147343,26453131
heap,68057,0.103198,18437079
heap,56714,0.072453,12898556
heap,47261,0.050828,8940406
heap,39384,0.036283,6267773
heap,32820,0.025206,4360302
heap,27350,0.017903,3053483
heap,22791,0.012726,2149890
heap,18992,0.009063,1507600
heap,15826,0.006624,1060731
heap,13188,0.004696,754028
heap,10990,0.003387,526912
heap,9158,0.002515,384920
heap,7631,0.001781,261139
heap,6359,0.001363,188227
heap,5299,0.000993,136897
heap,4415,0.000767,103190
heap,3679,0.000567,73293
heap,3065,0.000417,50642
heap,2554,0.000335,40970
heap,2128,0.000274,31419
heap,1773,0.000195,21435
heap,1477,0.000160,18197
heap,1230,0.000120,11813
heap,1025,0.000098,9935
heap,854,0.000077,6933
heap,711,0.000067,5650
heap,592,0.000053,4813
heap,493,0.000040,2980
heap,410,0.000034,2945
heap,341,0.000027,1918
heap,284,0.000022,1658
heap,236,0.000018,1366
heap,196,0.000014,939
heap,163,0.000012,853
heap,135,0.000009,652
heap,112,0.000007,483
heap,93,0.000006,359
heap,77,0.000005,293
heap,64,0.000004,340
heap,53,0.000003,234
heap,44,0.000003,145
heap,36,0.000003,116
heap,30,0.000002,109
heap,25,0.000001,81
heap,20,0.000001,68
heap,16,0.000001,49
heap,13,0.000000,20
heap,10,0.000001,17
heap,8,0.000001,12
heap,6,0.000000,11
heap,5,0.000001,6
heap,4,0.000000,4
heap,3,0.000001,3
heap,2,0.000000,1
heap,1,0.000000,0
